date,month,sample,time,pre_id,pre,attack_in_pre,pre_dur,sp_pred,n_pred,size_pred,action_pred,tte_pred,n_attack,foraging_rate,shoal_size,shoal_density,shoal_area,change_size,change_density,change_area,shoal_beh,tte_shoal_end,switch_rate
23/10/2018,1,1,08:02:45,2310_1,1,1,38,1,1,72,1,0,2,3.3,288,35,8.22,143,1.3,3.64,2,10,3.3
23/10/2018,1,1,08:19:19,2310_2,1,0,54,2,1,83,0,0,0,0,163,21.7,7.48,158,5,4.5,6,0,0
23/10/2018,1,3,16:34:54,2310_3,1,0,50,2,1,85,0,0,0,0,122,15.5,7.87,-3,-3.8,2.34,6,0,0
23/10/2018,1,3,16:47:01,2310_4,1,0,44,2,1,92,0,0,0,0,265,21.9,12.1,173,11,1.19,6,0,0
24/10/2018,1,1,07:01:54,2410_1,1,0,61,2,1,114,0,0,0,0,23,5.1,4.48,10,1.2,0.71,0,0,0
24/10/2018,1,1,07:08:55,2410_2,1,1,42,2,1,85,1,0,2,3.3,42,5.6,7.39,21,6.4,-2.2,3,0,3.3
24/10/2018,1,1,07:11:46,2410_3,1,1,15,2,1,90,1,0,1,1.6,57,13.8,4.12,-3,9.6,-1.82,2,10,0
24/10/2018,1,1,08:03:58,2410_4,1,1,12,2,1,72,1,0,1,1.6,403,32.3,12.46,-73,-2.3,-1.45,2,9,1.6
24/10/2018,1,1,08:04:55,2410_5,1,1,37,2,1,74,1,0,1,1.6,459,35.2,13.02,-161,-8.4,-1.92,3,32,1.6
24/10/2018,1,2,13:05:28,2410_6,1,1,65,1,2,70,1,0,5,8.3,188,26.9,6.97,106,9.9,1,2,3,11.6
24/10/2018,1,2,13:07:12,2410_7,1,1,41,1,1,69,1,0,1,1.6,29,25.6,1.13,-16,-21,1.67,2,9,0
25/10/2018,1,1,07:34:37,2510_1,1,1,28,2,1,60,0,23,1,1.6,425,38.4,11.04,-48,-3.9,-0.12,4,4,3.3
25/10/2018,1,1,07:39:52,2510_2,1,1,28,2,1,60,0,20,1,1.6,421,38.5,10.91,69,6.2,0.03,4,6,3.3
25/10/2018,1,3,17:00:48,2510_3,1,1,47,1,1,80,1,0,2,3.3,143,36.3,3.93,-2,-13.2,2.17,2,16,8.3
25/10/2018,1,3,17:03:57,2510_4,1,1,74,1,1,65,1,0,2,3.3,382,27.5,13.87,-49,0.3,-1.933,2,35,5
26/10/2018,1,2,12:32:05,2610_1,1,1,15,1,1,102,1,0,1,1.6,523,38.2,13.66,-305,-19.4,-2.09,2,9,1.6
27/10/2018,1,1,06:36:32,2710_1,1,0,17,2,1,90,0,0,0,0,,,,,,,,,
27/10/2018,1,1,06:38:43,2710_2,1,1,3,2,1,90,1,0,1,1.6,,,,,,,1,0,
28/10/2018,1,1,06:37:04,2810_1,1,1,26,2,1,64,1,0,1,1.6,384,27.8,13.78,19,5,-1.52,1,24,0
28/10/2018,1,1,06:38:26,2810_2,1,1,53,2,1,66,1,1,3,5,371,32.9,11.27,-87,2.2,-3.2,2,25,6.6
28/10/2018,1,1,06:59:53,2810_3,1,0,29,2,1,58,0,0,0,0,314,43.2,7.26,63,9.3,-0.09,6,0,0
